,Store,Lat,Long,Region
0,Countdown Airport,-36.99736985,174.7888823,5
1,Countdown Auckland City,-36.84496186,174.7731192,3
2,Countdown Aviemore Drive,-36.89887827,174.9065699,4
3,Countdown Birkenhead,-36.81111802,174.7248776,1
4,Countdown Blockhouse Bay,-36.92291876,174.7023521,2
5,Countdown Botany Downs,-36.92972626,174.9110718,4
6,Countdown Browns Bay,-36.71714479,174.7472772,1
7,Countdown Glenfield,-36.78148813,174.7234262,1
8,Countdown Greenlane,-36.88916156,174.7935037,3
9,Countdown Grey Lynn,-36.85144346,174.7318719,3
10,Countdown Grey Lynn Central,-36.86311836,174.7385667,3
11,Countdown Hauraki Corner,-36.79667981,174.7781249,1
12,Countdown Henderson,-36.88089456,174.6332277,2
13,Countdown Highland Park,-36.89933061,174.9084309,4
14,Countdown Hobsonville,-36.79748845,174.6487257,2
15,Countdown Howick,-36.89585201,174.9335377,4
16,Countdown Kelston,-36.90955497,174.6638042,2
17,Countdown Lincoln Road,-36.8568778,174.6325126,2
18,Countdown Lynfield,-36.92514077,174.7239957,2
19,Countdown Lynmall,-36.90687152,174.6850146,2
20,Countdown Mairangi Bay,-36.73941255,174.7540551,1
21,Countdown Mangere East,-36.9657908,174.825346,5
22,Countdown Mangere Mall,-36.96987802,174.8011202,5
23,Countdown Manukau,-36.98676855,174.8848148,5
24,Countdown Manukau Mall,-36.99174967,174.8831931,5
25,Countdown Manurewa,-37.01734442,174.8651097,5
26,Countdown Meadowbank,-36.87610706,174.8289359,4
27,Countdown Meadowlands,-36.9132518,174.929465,4
28,Countdown Milford,-36.77197217,174.7666177,1
29,Countdown Mt Eden,-36.87718131,174.7523352,3
30,Countdown Mt Roskill,-36.90203359,174.7356996,3
31,Countdown Mt Wellington,-36.9093147,174.837989,4
32,Countdown Newmarket,-36.8705446,174.7754093,3
33,Countdown Northcote,-36.80035237,174.7455338,1
34,Countdown Northwest,-36.81879206,174.6129291,2
35,Countdown Onehunga,-36.92249969,174.7838024,3
36,Countdown Pakuranga,-36.91284146,174.8714299,4
37,Countdown Papakura,-37.06390487,174.9447236,5
38,Countdown Papatoetoe,-36.97039494,174.862111,5
39,Countdown Ponsonby,-36.8584399,174.7491386,3
40,Countdown Pt Chevalier,-36.86957431,174.7105595,2
41,Countdown Roselands,-37.0589478,174.9414297,5
42,Countdown St Johns,-36.87888192,174.8548393,4
43,Countdown St Lukes,-36.88336862,174.7347459,3
44,Countdown Sunnynook,-36.75907026,174.7406941,1
45,Countdown Sylvia Park,-36.91713855,174.8418202,4
46,Countdown Takanini,-37.04764284,174.9279243,5
47,Countdown Takapuna,-36.79125414,174.7662056,1
48,Countdown Te Atatu,-36.84209292,174.6542381,2
49,Countdown Te Atatu South,-36.86472278,174.6476292,2
50,Countdown Three Kings,-36.90796057,174.7559072,3
51,Countdown Victoria Street West,-36.84853355,174.7648512,3
52,Countdown Westgate,-36.82092949,174.6146464,2
53,Countdown Metro Albert Street,-36.84350157,174.7658662,3
54,Countdown Metro Halsey Street,-36.84358106,174.7578066,3
55,Distribution Centre Auckland,-36.94904179,174.8080123,5
56,FreshChoice Glen Eden,-36.91087436,174.6545496,2
57,FreshChoice Half Moon Bay,-36.88106607,174.9002827,4
58,FreshChoice Mangere Bridge,-36.94250829,174.7869875,3
59,FreshChoice Otahuhu,-36.94480584,174.8431184,5
60,FreshChoice Ranui,-36.86353948,174.6015834,2
61,SuperValue Avondale,-36.89776863,174.69741,2
62,SuperValue Flatbush,-36.97676671,174.8972267,5
63,SuperValue Palomino,-36.88287566,174.6161793,2
64,SuperValue Papakura,-37.06606311,174.9556975,5
65,SuperValue Titirangi,-36.93739048,174.6572984,2
